"rho","median_N","selected","rep","rule","n","portfolio","conditioned","condition_number","attainment","median_ratio"
0.1,100,FALSE,53,"capped_safeguard",122,-0.00043297812781163,-0.163140728493786,65.9456650791047,0.155737704918033,0.378319597069597
0.1,100,FALSE,54,"point",121,0.00285931954696858,0.000398228232141273,58.7218509091781,0,0.176335877862595
0.1,100,FALSE,54,"safeguard",121,1.0028159325234,1.0004140951521,58.7218509091781,0.586776859504132,1.02608695652174
0.1,100,FALSE,54,"original_size",121,-0.40409988138911,0.000208323474880354,58.7218509091781,0.140495867768595,0.0961832061068702
0.1,100,FALSE,54,"capped_safeguard",121,0.01835524574226,-0.0652832481624729,58.7218509091781,0.140495867768595,0.220070422535211
0.1,100,FALSE,55,"point",116,-0.0049671857599947,-0.00316080668265192,57.9576531582276,0,0.250514403292181
0.1,100,FALSE,55,"safeguard",116,0.995106937371567,0.997207559674374,57.9576531582276,0.439655172413793,0.984729265023023
0.1,100,FALSE,55,"original_size",116,-0.335148313715081,-0.00312104504914097,57.9576531582276,0.0689655172413793,0.19108005521049
0.1,100,FALSE,55,"capped_safeguard",116,-0.0133027445140119,-0.151128147379852,57.9576531582276,0.0862068965517241,0.379961149261212
0.1,100,FALSE,56,"point",121,-0.0158059692452579,-0.0227836844299916,54.7938683430447,0,0.232649620679966
0.1,100,FALSE,56,"safeguard",121,0.984154417058174,0.977408244891123,54.7938683430447,0.495867768595041,0.994583114124822
0.1,100,FALSE,56,"original_size",121,-0.361756191186151,-0.0225326602364994,54.7938683430447,0.0743801652892562,0.152451708766716
0.1,100,FALSE,56,"capped_safeguard",121,-0.0131872128853769,-0.141727925008768,54.7938683430447,0.12396694214876,0.32488628979857
